MD,DS,StyleCode,품명,시즌코드,컬러수,기획수량,생산형태,생산처,원산지,출고차순,출고일(주차),작지발행,납기1차(참고),컬러구성,사양확정,비수기,원가합,소매가합,원단처,겉감정보,안감정보,생산처_소재DB
박진아,조은선,QEHFX27105,남녀공용 하이킹 메쉬 긴장갑,X,3,5100,완사입,시즈글로벌,베트남,,1월4주,,,"WGY, DGY(D/GRAY), LAV(LAVENDER)",,,56747700,280500000,,,,
최지희,강지은,QEREX27101,남녀공용 고어텍스 3L 볼캡,X,2,7000,CMT,캐비야,국내,SP1,1월3주,O,,"BLK(BLACK), GBU-1",O,,96761000,616000000,,,,
최지희,강지은,QEREX27111,남녀공용 고어텍스 2L 캠프캡,X,3,6000,CMT,캐비야,국내,SP1,1월3주,O,,"CRE-1, DGR(D/GREEN), DGY-1",O,,73590000,420000000,,,,
최지희,강지은,QERFX27101,남녀공용 고어텍스 버킷햇,X,3,10000,CMT,캐비야,국내,SP1,1월3주,O,,"CRE-1, LSL-1, BLK(BLACK)",O,,149010000,880000000,,,,
최지희,강지은,QERFX27111,남녀공용 고어텍스 브림햇,X,2,5500,CMT,캐비야,국내,SP1,1월3주,O,,"WGY, DGY-1",O,,102118500,484000000,,,,
최지희,강지은,QEREM27151,남녀공용 에어도트 볼캡,M,4,12000,완사입,캐비야,국내,SM2,3월2주,O,,"CRE(CREAM), KHA(KHAKI), BGY(B/GRAY), BLK(BLACK)",X,,150000000,720000000,,,,
최지희,강지은,QEREM27131,남녀공용 메쉬 우븐 배색 캠프캡,M,2,3000,완사입,캐비야,국내,SM2,3월2주,O,,"BLK(BLACK), WBE",X,,37044000,180000000,,,,
최지희,강지은,QEREM27311,남녀공용 BPL 폴더블 캡,M,2,900,완사입,PNG,베트남,SM2,3월4주,O,,"ABL(A/BLUE), BGY-2",X,,9960300,54000000,,,,
최지희,강지은,QEREM27301,남녀공용 BPL 프린트 폴더블 캡,M,1,500,완사입,PNG,베트남,SM2,3월4주,X,,GRY-1,X,,5533500,30000000,,,,
최지희,강지은,QEREX27401,남녀공용 면 트윌 볼캡,X,4,2600,완사입,PNG,베트남,SM2,3월4주,O,,"BLK(BLACK), PIS, LPI, WHX",O,,27739400,143000000,,,,
최지희,강지은,QEREM27171,남녀공용 애어도트 사하라캡,M,2,3500,완사입,PNG,베트남,,3월4주,O,,"BLK(BLACK), LGY(L/GRAY)",X,,55335000,273000000,,,,
최지희,강지은,QERHM27902,여성 UV CUT 썬바이저,M,2,7500,완사입,PNG,베트남,,3월4주,,,"BLK(BLACK), LPI",,,66750000,375000000,,,,
최지희,강지은,QERFX27141,남녀공용 경량 우븐 벤틸레이션 브림햇,X,2,5500,완사입,캐비야,국내,SM2,3월2주,O,,"DGY(D/GRAY), GBR(G/BROWN)",O,,90750000,429000000,,,,
최지희,강지은,QERFM27151,남녀공용 에어도트 버킷햇,M,2,3000,완사입,캐비야,국내,SM2,3월2주,O,,"BGY(B/GRAY), BLK(BLACK)",X,,41259000,210000000,,,,
최지희,강지은,QERFM27121,남녀공용 경량 메쉬 버킷햇,M,2,2000,완사입,캐비야,국내,SM2,3월2주,O,,"BLK(BLACK), WBE",X,,28936000,140000000,,,,
최지희,강지은,QERFM27501,남녀공용 데이팩 버킷햇,M,3,6000,완사입,캐비야,국내,,3월4주,O,,"GRI(GREIGE), LKH, BLK(BLACK)",O,,78000000,420000000,,,,
최지희,강지은,QERFM27402,여성 롱와이드 버킷햇,M,2,1100,완사입,,국내,SM2,3월2주,X,,"CPI(C/PINK), PYL",X,,15914800,77000000,,,,
최지희,강지은,QERFM27401,남녀공용 시어서커 버킷햇,M,2,1600,완사입,캐비야,국내,SM2,3월2주,O,,"BLK(BLACK), LBL(L/BLUE)",X,,23148800,112000000,,,,
최지희,강지은,QERFM27171,남녀공용 사하라 버킷햇,M,1,1500,완사입,PNG,베트남,,3월4주,,,WGY,,,28906500,132000000,,,,
최지희,조은선,QEBDX27691,남녀공용 데이팩 토트백,X,2,900,완사입,인투잇플러스,중국,,3월4주,X,,"BLK(BLACK), LGI(L/GREIGE)",X,,14400000,70200000,,,,
최지희,조은선,QEBXX27691,남녀공용 데이팩 백팩,X,1,800,완사입,인투잇플러스,중국,,3월4주,X,,BLK(BLACK),X,,22800000,102400000,,,,
